Query,RetrievedDocuments
40001.query,VOM19980630.0700.0238 
40002.query,VOM19980507.0700.0521 
40003.query,VOM19980614.0700.0302 
40004.query,VOM19980630.0730.0002 
40005.query,VOM19980317.0700.2420 
40006.query,VOM19980630.0700.0238 
40007.query,VOM19980630.0700.0238 
40008.query,VOM19980630.0730.0136 
40009.query,VOM19980625.0730.0090 
40010.query,VOM19980225.0900.2949 
40011.query,VOM19980302.0700.3552 
40012.query,VOM19980225.0900.0458 
40013.query,VOM19980220.0700.1297 
40014.query,VOM19980406.0900.0044 
40015.query,VOM19980618.0700.0187 
40016.query,VOM19980611.0700.0548 
40017.query,VOM19980317.0700.0156 
40018.query,VOM19980618.0700.0114 
40019.query,VOM19980406.0900.0044 
40020.query,VOM19980603.0700.0545 
40021.query,VOM19980325.0900.3425 
40022.query,VOM19980616.0700.0538 
40023.query,VOM19980616.0700.0538 
40024.query,VOM19980223.0900.1900 
40025.query,VOM19980225.0900.0458 
40026.query,VOM19980319.0700.0352 
40027.query,VOM19980225.0900.2949 
40028.query,VOM19980511.0900.0097 
40029.query,VOM19980616.0900.0100 
40030.query,VOM19980610.0730.0140 
40031.query,VOM19980614.0700.0458 
40032.query,VOM19980325.0900.0905 
40033.query,VOM19980326.0700.2359 
40034.query,VOM19980220.0900.3504 
40035.query,VOM19980227.0900.0358 
40036.query,VOM19980623.0900.0051 
40037.query,VOM19980618.0700.0114 
40038.query,VOM19980511.0730.0066 
40039.query,VOM19980623.0900.0051 
40040.query,VOM19980630.0900.0005 
40041.query,VOM19980605.0700.0528 
40042.query,VOM19980602.0730.0163 
40043.query,VOM19980510.0730.0142 
40044.query,VOM19980325.0900.3063 
40045.query,VOM19980630.0700.0238 
40046.query,VOM19980507.0700.0521 
40047.query,VOM19980319.0900.0364 
40048.query,VOM19980623.0900.0051 
40049.query,VOM19980623.0900.0051 
40050.query,VOM19980403.0900.0619 
40051.query,VOM19980511.0900.0039 
40052.query,VOM19980604.0700.0126 
40053.query,VOM19980521.0730.0029 
40054.query,VOM19980612.0900.0168 
40055.query,VOM19980326.0700.2359 
40056.query,VOM19980618.0700.0114 
40057.query,VOM19980317.0900.2819 
40058.query,VOM19980506.0900.0225 
40059.query,VOM19980404.0700.1061 
40060.query,VOM19980611.0900.0042 
40061.query,VOM19980223.0700.2728 
40062.query,VOM19980630.0700.0238 
40063.query,VOM19980510.0730.0142 
40064.query,VOM19980511.0730.0066 
40065.query,VOM19980511.0700.0105 
40066.query,VOM19980317.0700.2420 
40067.query,VOM19980312.0900.0825 
40068.query,VOM19980325.0900.3063 
40069.query,VOM19980605.0730.0189 
40070.query,VOM19980606.0730.0212 
40071.query,VOM19980316.0900.2774 
40072.query,VOM19980509.0700.0043 
40073.query,VOM19980225.0900.2949 
40074.query,VOM19980618.0700.0114 
40075.query,VOM19980225.0900.2949 
40076.query,VOM19980316.0900.2774 
40077.query,VOM19980511.0900.0039 
40078.query,VOM19980505.0700.0344 
40079.query,VOM19980612.0900.0168 
40080.query,VOM19980222.0700.1986 
40081.query,VOM19980326.0700.2359 
40082.query,VOM19980225.0900.2949 
40083.query,VOM19980317.0900.2819 
40084.query,VOM19980225.0900.2949 
40085.query,VOM19980511.0730.0066 
40086.query,VOM19980317.0900.2819 
40087.query,VOM19980511.0730.0066 
40088.query,VOM19980302.0700.0653 
40089.query,VOM19980618.0700.0114 
40090.query,VOM19980404.0700.1061 
40091.query,VOM19980620.0700.0093 
40092.query,VOM19980326.0700.2359 
40093.query,VOM19980404.0700.0406 
40094.query,VOM19980511.0900.0039 
40095.query,VOM19980222.0700.0448 
40096.query,VOM19980511.0900.0039 
40097.query,VOM19980315.0700.2184 
40098.query,VOM19980511.0900.0039 
40099.query,VOM19980511.0900.0039 
40100.query,VOM19980522.0900.0158 
40101.query,VOM19980305.0700.0495 
40102.query,VOM19980222.0700.0448 
40103.query,VOM19980326.0700.2359 
40104.query,VOM19980511.0900.0039 
40105.query,VOM19980522.0900.0158 
40106.query,VOM19980403.0900.0124 
40107.query,VOM19980630.0730.0136 
40108.query,VOM19980620.0730.0003 
40109.query,VOM19980403.0900.3074 
40110.query,VOM19980222.0700.0448 
40111.query,VOM19980303.0700.0696 
40112.query,VOM19980326.0700.2359 
40113.query,VOM19980325.0900.0905 
40114.query,VOM19980228.0700.2873 
40115.query,VOM19980326.0900.1939 
40116.query,VOM19980327.0900.1287 
40117.query,VOM19980613.0700.0555 
40118.query,VOM19980504.0730.0100 
40119.query,VOM19980326.0700.2359 
40120.query,VOM19980316.0900.3433 
40121.query,VOM19980225.0900.0458 
40122.query,VOM19980326.0700.2359 
40123.query,VOM19980302.0900.0670 
40124.query,VOM19980222.0700.1986 
40125.query,VOM19980319.0900.0364 
40126.query,VOM19980403.0900.2034 
40127.query,VOM19980403.0900.2034 
40128.query,VOM19980404.0700.0406 
40129.query,VOM19980403.0900.2034 
40130.query,VOM19980220.0900.2583 
40131.query,VOM19980403.0900.2034 
40132.query,VOM19980403.0700.0129 
40133.query,VOM19980302.0700.3552 
40134.query,VOM19980403.0900.2034 
40135.query,VOM19980327.0900.1545 
40136.query,VOM19980228.0700.0268 
40137.query,VOM19980220.0900.3504 
40138.query,VOM19980220.0900.3504 
40139.query,VOM19980404.0700.0676 
40140.query,VOM19980505.0700.0384 
40141.query,VOM19980302.0700.0653 
40142.query,VOM19980430.0900.0231 
40143.query,VOM19980403.0900.2034 
40144.query,VOM19980319.0700.2536 
40145.query,VOM19980319.0700.0352 
40146.query,VOM19980520.0900.0042 
40147.query,VOM19980224.0700.0330 
40148.query,VOM19980624.0700.0288 
40149.query,VOM19980326.0700.0480 
40150.query,VOM19980223.0900.1900 
40151.query,VOM19980325.0900.3393 
40152.query,VOM19980316.0900.2774 
40153.query,VOM19980317.0700.2420 
40154.query,VOM19980430.0900.0231 
40155.query,VOM19980522.0900.0158 
40156.query,VOM19980319.0700.0352 
40157.query,VOM19980316.0900.2774 
40158.query,VOM19980505.0700.0344 
40159.query,VOM19980316.0900.2774 
40160.query,VOM19980618.0700.0114 
40161.query,VOM19980327.0900.1545 
40162.query,VOM19980315.0700.1857 
40163.query,VOM19980304.0900.0903 
40164.query,VOM19980305.0700.0560 
40165.query,VOM19980504.0700.0222 
40166.query,VOM19980630.0700.0238 
40167.query,VOM19980630.0700.0238 
40168.query,VOM19980315.0700.2184 
40169.query,VOM19980226.0900.0245 
40170.query,VOM19980326.0900.3491 
40171.query,VOM19980630.0700.0238 
40172.query,VOM19980326.0900.1939 
40173.query,VOM19980326.0900.1939 
40174.query,VOM19980228.0700.0268 
40175.query,VOM19980305.0700.0560 
40176.query,VOM19980223.0900.1900 
40177.query,VOM19980306.0700.0671 
40178.query,VOM19980404.0700.0406 
40179.query,VOM19980301.0700.0136 
40180.query,VOM19980302.0900.0670 
40181.query,VOM19980326.0900.2164 
40182.query,VOM19980511.0900.0039 
40183.query,VOM19980317.0900.2819 
40184.query,VOM19980327.0900.1545 
40185.query,VOM19980522.0900.0158 
40186.query,VOM19980630.0700.0238 
40187.query,VOM19980312.0900.0825 
40188.query,VOM19980222.0700.0448 
40189.query,VOM19980504.0700.0268 
40190.query,VOM19980325.0900.3393 
40191.query,VOM19980327.0900.1545 
40192.query,VOM19980305.0700.0436 
40193.query,VOM19980620.0700.0552 
40194.query,VOM19980325.0900.3063 
40195.query,VOM19980630.0730.0136 
40196.query,VOM19980607.0700.0422 
40197.query,VOM19980618.0700.0114 
40198.query,VOM19980220.0900.2019 
40199.query,VOM19980306.0700.3467 
40200.query,VOM19980511.0700.0105 
40201.query,VOM19980316.0900.2774 
40202.query,VOM19980627.0700.0466 
40203.query,VOM19980522.0900.0158 
40204.query,VOM19980223.0700.2728 
40205.query,VOM19980326.0700.2359 
40206.query,VOM19980505.0700.0344 
40207.query,VOM19980404.0700.1788 
40208.query,VOM19980530.0700.0318 
40209.query,VOM19980220.0900.3504 
40210.query,VOM19980621.0730.0001 
40211.query,VOM19980316.0900.2774 
40212.query,VOM19980312.0900.1968 
40213.query,VOM19980220.0700.1159 
40214.query,VOM19980630.0730.0136 
40215.query,VOM19980327.0900.1545 
40216.query,VOM19980327.0900.1545 
40217.query,VOM19980316.0700.0649 
40218.query,VOM19980220.0900.3504 
40219.query,VOM19980326.0900.1939 
40220.query,VOM19980504.0700.0268 
40221.query,VOM19980404.0700.1788 
40222.query,VOM19980630.0700.0238 
40223.query,VOM19980618.0700.0114 
40224.query,VOM19980511.0900.0039 
40225.query,VOM19980317.0700.0510 
40226.query,VOM19980504.0700.0268 
40227.query,VOM19980511.0900.0039 
40228.query,VOM19980511.0900.0208 
40229.query,VOM19980404.0700.1061 
40230.query,VOM19980223.0900.1900 
40231.query,VOM19980524.0700.0112 
40232.query,VOM19980305.0900.2335 
40233.query,VOM19980326.0700.2359 
40234.query,VOM19980507.0900.0269 
40235.query,VOM19980404.0700.1061 
40236.query,VOM19980618.0730.0119 
40237.query,VOM19980403.0900.0619 
40238.query,VOM19980316.0900.2774 
40239.query,VOM19980228.0700.0268 
40240.query,VOM19980302.0900.0510 
40241.query,VOM19980619.0730.0076 
40242.query,VOM19980312.0900.1968 
40243.query,VOM19980325.0900.0905 
40244.query,VOM19980220.0900.3504 
40245.query,VOM19980630.0700.0238 
40246.query,VOM19980220.0900.2019 
40247.query,VOM19980510.0730.0142 
40248.query,VOM19980504.0730.0100 
40249.query,VOM19980510.0730.0142 
40250.query,VOM19980403.0700.1169 
40251.query,VOM19980430.0900.0231 
40252.query,VOM19980505.0700.0344 
40253.query,VOM19980220.0900.3504 
40254.query,VOM19980301.0700.0136 
40255.query,VOM19980507.0900.0269 
40256.query,VOM19980317.0700.2420 
40257.query,VOM19980604.0700.0534 
40258.query,VOM19980228.0700.0268 
40259.query,VOM19980504.0700.0268 
40260.query,VOM19980403.0900.0619 
40261.query,VOM19980618.0700.0234 
40262.query,VOM19980406.0900.0044 
40263.query,VOM19980225.0900.2949 
40264.query,VOM19980327.0900.1545 
40265.query,VOM19980404.0700.1061 
40266.query,VOM19980614.0730.0231 
40267.query,VOM19980618.0700.0234 
40268.query,VOM19980312.0900.0825 
40269.query,VOM19980220.0900.3504 
40270.query,VOM19980602.0730.0163 
40271.query,VOM19980315.0700.2184 
40272.query,VOM19980524.0730.0031 
40273.query,VOM19980317.0700.0510 
40274.query,VOM19980630.0730.0248 
40275.query,VOM19980613.0700.0179 
40276.query,VOM19980613.0700.0179 
40277.query,VOM19980303.0900.0160 
40278.query,VOM19980613.0700.0179 
40279.query,VOM19980428.0900.0156 
40280.query,VOM19980502.0730.0193 
40281.query,VOM19980630.0730.0248 
40282.query,VOM19980222.0700.1880 
40283.query,VOM19980502.0730.0193 
40284.query,VOM19980502.0730.0193 
40285.query,VOM19980326.0900.0118 
40286.query,VOM19980613.0730.0072 
40287.query,VOM19980613.0700.0179 
40288.query,VOM19980326.0700.0115 
40289.query,VOM19980613.0730.0072 
40290.query,VOM19980222.0700.1880 
40291.query,VOM19980326.0700.0115 
40292.query,VOM19980403.0700.0372 
40293.query,VOM19980613.0700.0179 
40294.query,VOM19980326.0900.0118 
40295.query,VOM19980326.0700.0115 
40296.query,VOM19980326.0700.0115 
40297.query,VOM19980613.0700.0179 
40298.query,VOM19980326.0700.0115 
40299.query,VOM19980526.0700.0342 
40300.query,VOM19980613.0730.0072 
40301.query,VOM19980613.0700.0179 
40302.query,VOM19980613.0730.0072 
40303.query,VOM19980613.0700.0179 
40304.query,VOM19980602.0700.0417 
40305.query,VOM19980613.0730.0072 
40306.query,VOM19980613.0730.0072 
40307.query,VOM19980613.0730.0072 
40308.query,VOM19980225.0900.0178 
40309.query,VOM19980502.0730.0193 
40310.query,VOM19980326.0700.0115 
40311.query,VOM19980304.0700.0408 
40312.query,VOM19980222.0700.1880 
40313.query,VOM19980326.0700.0115 
40314.query,VOM19980613.0730.0072 
40315.query,VOM19980306.0700.0354 
40316.query,VOM19980613.0700.0179 
40317.query,VOM19980303.0700.0783 
40318.query,VOM19980220.0900.3360 
40319.query,VOM19980326.0900.0118 
40320.query,VOM19980428.0900.0156 
40321.query,VOM19980303.0700.0179 
40322.query,VOM19980303.0700.0179 
40323.query,VOM19980223.0900.3362 
40324.query,VOM19980303.0700.0179 
40325.query,VOM19980303.0700.0783 
40326.query,VOM19980613.0700.0179 
40327.query,VOM19980613.0730.0072 
40328.query,VOM19980403.0700.0372 
40329.query,VOM19980223.0900.0154 
40330.query,VOM19980220.0900.3360 
40331.query,VOM19980326.0900.0118 
40332.query,VOM19980526.0700.0381 
40333.query,VOM19980225.0900.0178 
40334.query,VOM19980223.0900.3362 
40335.query,VOM19980222.0700.1842 
40336.query,VOM19980613.0730.0072 
40337.query,VOM19980613.0700.0179 
40338.query,VOM19980613.0730.0072 
40339.query,VOM19980223.0900.3362 
40340.query,VOM19980223.0900.3362 
40341.query,VOM19980223.0700.0882 
40342.query,VOM19980228.0700.1816 
40343.query,VOM19980223.0900.3362 
40344.query,VOM19980225.0900.0178 
40345.query,VOM19980226.0900.0245 
40346.query,VOM19980223.0900.3362 
40347.query,VOM19980225.0900.0178 
40348.query,VOM19980223.0900.3362 
40349.query,VOM19980223.0700.0240 
40350.query,VOM19980613.0700.0179 
40351.query,VOM19980223.0900.3362 
40352.query,VOM19980220.0900.3360 
40353.query,VOM19980225.0900.0178 
40354.query,VOM19980225.0900.0178 
40355.query,VOM19980223.0900.3362 
40356.query,VOM19980223.0900.3362 
40357.query,VOM19980503.0700.0096 
40358.query,VOM19980221.0700.0119 
